id;application_id;name;doj;role;team;manager;org;status
312e6e10-356d-41f0-9dae-62352496ce76;36725e5c-3257-4d05-91f7-f4eea79bd720;Cotton Agent;2022-09-04;Savings interfaces efficient;stable indexing;intuitive;Soap Shirt Sweden;ONBOARDING_INITIATED
e0397d0f-e67e-49be-abfc-c5a0c7bec44b;7c7eb09e-2570-4d7a-b2d0-fc70c4672fdc;Principal Jewelery;2022-09-05;Soft;Afghanistan;blue architect Belize;experiences utilisation deposit;ONBOARDING_INPROGRESS
119526ee-f865-45ca-affc-11e93b6e0129;6679e3d5-0a67-4892-8baf-6642eb4336df;SSL invoice;2022-09-04;Lead deploy;sky;Practical;invoice;ONBOARDING_INPROGRESS
92efd50f-a7a2-447b-b931-4364eab10a3f;7ed39793-b9e1-41ae-8cec-13e357dba8e0;copying Program Steel;2022-09-04;Books;Prairie cyan Intelligent;Granite Mauritius;Forward;ONBOARDING_INPROGRESS
f9e8cf42-26bc-455f-9c6c-ee26e705390b;bc29db15-465a-4e7a-afaf-1573d1cec795;SMS neural;2022-09-04;Robust;compelling Customer;plum;one-to-one AGP;ONBOARDING_INITIATED
b1cacc7a-ab00-471b-85f1-4ee1127cc762;ab3185f8-4683-4121-a6ed-a95c8e8979c4;Awesome didactic;2022-09-04;robust Refined Dynamic;Togo Forward;cross-platform;XML;ONBOARDED
ef0820ec-cd9c-468c-bfd9-acde3cdca585;08458f08-ed9a-4c7e-9ff0-6571ec99e249;withdrawal;2022-09-05;Soap Wooden Ports;matrix;models;Market;ONBOARDED
b19be6a2-74ee-45cb-8618-3091a5863ae5;ed0e23e0-3a5a-4185-ac0f-523cf9885bc7;Coordinator Ergonomic;2022-09-04;invoice;deposit;bandwidth;application;ONBOARDING_INITIATED
5274343c-fcfe-40b8-9054-974f948e6fae;29c70dec-1da8-4a27-96c8-a4d4d98f099b;user back-end;2022-09-04;Tuvalu;bypassing Pizza;Devolved;payment azure invoice;ONBOARDED
a292539e-b8ae-496d-84f4-6efd0b40ab17;7356576f-48c0-4060-9cfa-f671118e47e6;Quality-focused Tuna Account;2022-09-05;uniform ivory vortals;Soft Lead;Orchestrator;Squares iterate Music;ONBOARDING_INPROGRESS
