id;name;assignee;request_id
48281c26-13b4-4218-bfa0-f6b11aec426d;HDD;Dollar Borders Omani;312e6e10-356d-41f0-9dae-62352496ce76
442b92eb-db9a-42bf-be20-b8c5c37569bb;Shirt salmon Granite;Mobility web-enabled indexing;e0397d0f-e67e-49be-abfc-c5a0c7bec44b
5a7e95d7-0f51-4f4e-b889-c8908d13fd39;Shoes Chief mobile;Applications port;119526ee-f865-45ca-affc-11e93b6e0129
fc4149da-19cb-447c-b5cd-5a20cb59e086;Granite Berkshire Towels;card Ergonomic;92efd50f-a7a2-447b-b931-4364eab10a3f
4c1f01a0-4929-4f7e-99ff-175453b9d825;Marketing;web-enabled;f9e8cf42-26bc-455f-9c6c-ee26e705390b
68b168ee-ebd0-4714-bdea-338ff8acd4d4;Direct cyan;copy Cambridgeshire Steel;b1cacc7a-ab00-471b-85f1-4ee1127cc762
365f41f8-a4eb-4483-9c59-e0c09d306d07;Functionality transparent;clear-thinking e-business Chilean;ef0820ec-cd9c-468c-bfd9-acde3cdca585
6a5e3335-6a10-4d6c-8fc2-b0e2a1e333bf;Chicken invoice Chicken;Refined hacking Argentina;b19be6a2-74ee-45cb-8618-3091a5863ae5
24bc5cdd-ae62-47bc-b9a3-7c7f73126c86;payment connect;Vista seize;5274343c-fcfe-40b8-9054-974f948e6fae
666c534d-6d98-4fc7-8e02-28cc5a33dafc;programming Central;Multi-layered Creative navigating;a292539e-b8ae-496d-84f4-6efd0b40ab17
